Meme,Confiança/Entrega/Proteção,Coragem,Bondade/Caridade,Justiça/Honestidade,Humildade,Gratidão,Família,Religião,Nacionalismo,Meritocracia,Corrupção,Líder pol,Negro,Mulher,Obs
IMG-20200315-WA0019.jpg,1,1,0,0,0,0,1,1,0,1,0,0,0,0,Motivos florais
IMG-20200315-WA0027.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200315-WA0042.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Smilinguido
IMG-20200316-WA0016.jpg,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Bandeira
IMG-20200316-WA0024.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Anjo
IMG-20200316-WA0053.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fogo / Mençã negativa a Maia/Mobiliza
IMG-20200316-WA0142.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivos Florais / Amigos
IMG-20200316-WA0209.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivos florais
IMG-20200317-WA0031.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Motivos florais/Pomba (ES)
IMG-20200317-WA0037.jpg,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Fores/Coração (verde e amarelo sutil)
IMG-20200317-WA0066.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Apenas Sol
IMG-20200317-WA0070.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivos florais
IMG-20200317-WA0076.jpg,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Café/Amigos
IMG-20200318-WA0043.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Bonequinho claro
IMG-20200318-WA0057.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Mãos
IMG-20200318-WA0146.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200318-WA0360.jpg,0,0,0,0,0,1,0,1,0,1,0,0,0,0,Motivos florais
IMG-20200318-WA0626.jpg,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Motivos florais
IMG-20200319-WA0038.jpg,1,0,0,0,0,1,1,1,0,0,0,0,0,0,Motivos florais
IMG-20200319-WA0049.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,
IMG-20200319-WA0053.jpg,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Motivos florais
IMG-20200319-WA0070.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/Corações
IMG-20200319-WA0149.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/Corações
IMG-20200320-WA0018.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Corações 
IMG-20200320-WA0111.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Cachorro
IMG-20200320-WA0223.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos Florais
IMG-20200321-WA0112.jpg,1,1,0,0,0,1,0,1,0,1,0,0,0,0,Criança
IMG-20200321-WA0149.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivos florais
IMG-20200321-WA0441.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mar
IMG-20200322-WA0056.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200322-WA0208.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais (?)
IMG-20200322-WA0345.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Jesus e Flores
IMG-20200324-WA0043.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Luz e mãos
IMG-20200324-WA0109.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
IMG-20200324-WA0112.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos Florais
IMG-20200324-WA0211.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/vela
IMG-20200325-WA0090.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200325-WA0199.jpg,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Motivos florais/Corações
IMG-20200325-WA0239.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivos florais
IMG-20200325-WA0400.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos Florais/Cisne/Coração
IMG-20200326-WA0056.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Nossa Senhora + Livramento 
IMG-20200326-WA0064.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Praia e relógio
IMG-20200326-WA0180.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivos florais
IMG-20200326-WA0305.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Motivos florais
IMG-20200327-WA0058.jpg,1,1,0,0,0,0,0,1,0,1,0,0,0,0,"Céu, Mãos de prece"
IMG-20200327-WA0082.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Mar/Mãos de prece
IMG-20200327-WA0088.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Café
IMG-20200327-WA0095.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,Bicicleta/Lago
IMG-20200328-WA0052.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Motivos florais/Menina
IMG-20200328-WA0126.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/café
IMG-20200328-WA0151.jpg,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Soldado/Inimigo/Livramento
IMG-20200328-WA0200.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200328-WA0347.jpg,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Motivos florais
IMG-20200329-WA0045.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Motivos florais
IMG-20200329-WA0058.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Motivos florais
IMG-20200329-WA0198.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200331-WA0061.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paz
IMG-20200331-WA0062.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Criança
IMG-20200401-WA0080.jpg,1,1,0,0,0,1,0,1,0,1,0,0,0,0,Motivos florais/Borboletas
IMG-20200402-WA0021.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Menino e Cachorro
IMG-20200402-WA0227.jpg,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Colunas
IMG-20200403-WA0358.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Estrelas
IMG-20200404-WA0035.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Baú de tesouro
IMG-20200404-WA0036.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Ampolieta/Livraria Adventista
IMG-20200404-WA0039.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200404-WA0146.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corações 
IMG-20200405-WA0035.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Céu/Coqueiro: Bendito o que vem em nome do senhor
IMG-20200406-WA0052.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mulher e flores
IMG-20200406-WA0275.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200407-WA0045.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Montanha/Casa
IMG-20200408-WA0142.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Santa Ceia/Mãos
